StockIndexAdjD,SP500,N225,FTSE100,CAC40,GDAX,HSI
1991-09-20,387.92,23193,2600.3,1885.5,1616.1,3910
1991-09-23,385.92,23193,2579.5,1888.4,1614.2,3910
1991-09-24,387.71,23334,2576.6,1885.2,1626.6,3904
1991-09-25,386.88,23577,2597.8,1877.9,1625.4,3901
1991-09-26,386.49,23968,2595.6,1876.5,1620,3927
1991-09-27,385.9,23969,2599,1883.8,1608.1,3938
1991-09-30,387.86,23916,2621.7,1880.6,1607,3956.7
1991-10-01,389.2,24377,2645.6,1887.4,1609.6,4023.9
1991-10-02,388.26,24375,2644.2,1878.3,1607.3,4062.1
1991-10-03,384.47,24711,2625.6,1867.1,1607.3,4093.4
1991-10-04,381.25,24597,2624.6,1851.9,1601.7,4067.7
1991-10-07,379.5,24331,2596.2,1843.6,1588.7,4060.4
1991-10-08,380.67,24156,2599.5,1848.1,1578.7,4066.9
1991-10-09,376.8,24485,2584.1,1843.4,1567.2,4076.4
1991-10-10,380.55,24485,2570.8,1843.6,1568,4056.2
1991-10-11,381.45,24158,2555,1833.8,1568.4,4018
1991-10-14,386.47,23861,2574.5,1833.4,1571,4022.2
1991-10-15,391.01,24308,2576.7,1856.9,1585,4033.8
1991-10-16,392.8,24335,2579,1863.4,1570.1,4033.8
1991-10-17,391.92,24440,2588.7,1855.5,1564.5,4018.4
1991-10-18,392.5,24895,2601.1,1864.2,1563.3,4015.9
1991-10-21,390.02,25017,2575.7,1846,1572.7,3998.7
1991-10-22,387.83,24955,2559.5,1836.8,1580.7,3981.7
1991-10-23,387.94,24800,2561.1,1830.4,1587.9,4021.4
1991-10-24,385.07,24949,2528.3,1831.6,1579,3989.3
1991-10-25,384.2,24906,2514.7,1834.8,1572,3971.9
1991-10-28,389.52,24902,2558.5,1852.1,1576.8,3988.6
1991-10-29,391.48,25141,2553.3,1849.8,1590.8,4000.1
1991-10-30,392.96,24981,2577.1,1861.8,1582.8,4020
1991-10-31,392.45,25222,2566,1856.7,1582.1,4038.7
1991-11-01,391.32,25044,2549.5,1856.7,1573.6,4037.8
1991-11-04,390.28,25044,2527.8,1841.5,1573.6,4083
1991-11-05,388.71,24951,2540.9,1846.9,1576.1,4146.5
1991-11-06,389.97,24750,2534.2,1836.1,1574.2,4173.6
1991-11-07,393.72,24447,2538,1838.6,1578.4,4184.7
1991-11-08,392.89,24486,2559,1857.6,1606.2,4236.6
1991-11-11,393.12,24233,2554.9,1857.6,1609,4230.9
1991-11-12,396.74,24668,2575.5,1858.4,1621.2,4253
1991-11-13,397.41,24416,2546.5,1846.8,1623.2,4240.3
1991-11-14,397.15,24177,2561.6,1868.5,1621,4211.3
1991-11-15,382.62,24099,2546.6,1863.2,1629.4,4271.3
1991-11-18,385.24,23400,2502.9,1808.3,1611.9,4198.2
1991-11-19,379.42,23327,2463.1,1765.1,1599.1,4261.2
1991-11-20,378.53,23200,2472.6,1763.5,1599.1,4200.9
1991-11-21,380.06,23178,2463.5,1766,1598.1,4234.6
1991-11-22,376.14,23117,2446.3,1741.3,1600.3,4243.1
1991-11-25,375.34,22869,2456.2,1743.3,1589.2,4220.7
1991-11-26,377.96,23112,2471.5,1769,1602.9,4202.1
1991-11-27,376.55,22973,2447.5,1757.9,1586.2,4179.3
1991-11-28,376.55,22780,2428.6,1754.9,1588.2,4145.6
1991-11-29,375.22,22687,2420.2,1739.7,1566.6,4149.8
1991-12-02,381.4,21992,2414.9,1708.8,1545.4,4094.4
1991-12-03,380.96,22167,2420.2,1722.2,1546.8,4124.4
1991-12-04,380.07,22669,2423.8,1713.9,1561,4161.6
1991-12-05,377.39,22459,2407,1703.2,1553.4,4157.2
1991-12-06,379.1,22445,2388.7,1685.7,1558.2,4190
1991-12-09,378.26,22353,2409.6,1663.4,1559.1,4203.2
1991-12-10,377.9,21953,2392,1636.9,1551.1,4128.3
1991-12-11,377.7,21503,2380.2,1645.6,1543.6,4097.2
1991-12-12,381.55,21713,2423.3,1671.6,1546.4,4096
1991-12-13,384.47,22755,2451.6,1688.3,1558.3,4155.5
1991-12-16,384.46,22837,2440.8,1696.8,1552.9,4171.7
1991-12-17,382.74,22736,2432.9,1711.7,1560.9,4185
1991-12-18,383.48,22630,2413.6,1706.2,1573.8,4177.7
1991-12-19,382.52,21991,2391.6,1684.2,1561.8,4182.8
1991-12-20,387.04,21777,2358.1,1648.5,1543.2,4142.6
1991-12-23,396.82,21777,2345.4,1633.6,1539.6,4146.1
1991-12-24,399.33,21665,2384.4,1699.1,1539.6,4192.8
1991-12-25,399.33,22461,2384.4,1699.1,1539.6,4192.8
1991-12-26,404.84,22555,2384.4,1722.5,1539.6,4192.8
1991-12-27,406.46,22437,2418.7,1720.7,1563.6,4236.2
1991-12-30,415.14,22984,2420,1741.9,1578,4275.2
1991-12-31,417.09,22984,2493.1,1765.7,1578,4297.3
1992-01-02,417.26,22984,2492.8,1749.9,1601.9,4301.8
1992-01-03,419.34,22984,2504.1,1770.3,1603.6,4307.1
1992-01-06,417.96,23801,2493.2,1787.6,1603.3,4307
1992-01-07,417.4,23566,2482.9,1778.7,1592.5,4347.9
1992-01-08,418.1,22715,2467.1,1785.6,1578.7,4337.7
1992-01-09,417.61,23114,2497.9,1833.9,1589.8,4334.5
1992-01-10,415.1,22382,2477.9,1837.4,1615.7,4348.9
1992-01-13,414.34,21697,2490.1,1824.3,1622.7,4325.9
1992-01-14,420.44,21775,2516.3,1843.8,1628.5,4367.6
1992-01-15,420.77,21775,2537.1,1873.6,1667.5,4382.7
1992-01-16,418.21,21612,2541.6,1860.2,1666.3,4412.1
1992-01-17,418.86,21321,2536.7,1860.2,1671,4454.9
1992-01-20,416.36,20914,2544.9,1865.9,1677.2,4510.5
1992-01-21,412.64,20858,2543.4,1867.9,1685.3,4522.2
1992-01-22,418.13,21534,2522,1841.3,1680.1,4550.7
1992-01-23,414.96,21581,2525.3,1838.7,1669.6,4625.8
1992-01-24,415.48,21072,2510.4,1849.9,1664.8,4600.1
1992-01-27,414.99,21007,2539.9,1869.3,1683.6,4554.7
1992-01-28,414.96,21391,2552,1890.6,1683.1,4586.3
1992-01-29,410.34,21362,2546.5,1879.6,1672.4,4571.1
1992-01-30,411.62,21558,2550.8,1873.9,1680.9,4571.5
1992-01-31,408.78,22023,2571.2,1875.3,1687.5,4601.8
1992-02-03,409.53,22140,2560.2,1857,1689,4672.1
1992-02-04,413.85,22000,2556.8,1856.5,1674.6,4672.1
1992-02-05,413.84,21936,2547.1,1865.8,1686.6,4672.1
1992-02-06,413.82,22105,2534.3,1860.6,1681.1,4672.1
1992-02-07,411.09,22107,2517.2,1861.6,1685.5,4711.4
1992-02-10,413.77,21820,2538.4,1865.6,1682.1,4733.6
1992-02-11,413.76,21820,2537.1,1864.1,1683.6,4674.5
1992-02-12,417.13,21542,2523.7,1861.6,1678.9,4732.4
1992-02-13,413.69,21391,2522.6,1876.5,1681.4,4763.5
1992-02-14,412.48,20884,2513.9,1865.1,1676.5,4772.3
1992-02-17,412.48,21325,2541,1882.1,1681.1,4719.2
1992-02-18,407.38,20872,2555.9,1912.2,1695,4747.1
1992-02-19,408.26,20618,2536.7,1915.4,1687.8,4725.7
1992-02-20,413.9,20772,2543.4,1951.2,1703.2,4716
1992-02-21,411.43,21292,2542.3,1962.4,1717.6,4736.5
1992-02-24,412.27,20973,2559.7,1976.5,1729.1,4715.6
1992-02-25,410.45,21026,2546.8,1953.5,1722.3,4760.2
1992-02-26,415.35,21365,2565,1981.3,1737.3,4794.7
1992-02-27,413.86,21334,2562,1985.1,1749.9,4895.1
1992-02-28,412.7,21339,2562.1,1983.4,1745.1,4929.1
1992-03-02,412.45,21488,2554.3,1979.7,1747.9,4952.2
1992-03-03,412.85,21052,2565.4,1983.8,1763.3,4911.1
1992-03-04,409.33,21105,2558.4,1988.1,1759.1,4954.5
1992-03-05,406.51,20864,2538.3,1973,1764.8,4964.3
1992-03-06,404.44,20993,2533.1,1966.9,1746,4908.9
1992-03-09,405.21,20798,2550.7,1976.3,1750.3,4848.6
1992-03-10,406.89,20855,2574.8,1993.9,1750.5,4919
1992-03-11,404.03,20592,2522.4,1968,1743.4,5006
1992-03-12,403.89,20562,2493.3,1941.8,1727.5,5042.8
1992-03-13,405.84,20456,2476,1947.1,1732.6,5071.2
1992-03-16,406.39,19837,2470.7,1929.2,1724.8,5059.9
1992-03-17,409.58,19918,2491.2,1943.6,1730.1,5045.4
1992-03-18,409.15,19764,2464.7,1928.2,1732.2,5036.1
1992-03-19,409.8,20185,2467.6,1922,1724.6,4990.6
1992-03-20,411.3,20185,2456.6,1919.1,1736.3,5015.8
1992-03-23,409.91,20240,2441,1884.6,1717.5,5061.1
1992-03-24,408.88,19892,2458.7,1896.3,1713.1,5052.3
1992-03-25,407.52,20227,2464.9,1928.3,1716.3,5052.2
1992-03-26,407.86,19885,2472.2,1934.8,1719,5037.7
1992-03-27,403.5,19637,2447.9,1923.5,1711.5,5007.6
1992-03-30,403,19669,2452.9,1943.8,1710.3,4978.3
1992-03-31,403.69,19346,2440.1,1942.4,1717.9,4938.3
1992-04-01,404.23,18582,2408.6,1928.1,1707.3,4910
1992-04-02,400.5,18286,2405.4,1942,1721.7,4924.3
1992-04-03,401.55,18560,2382.7,1942.7,1719.6,4916.7
1992-04-06,405.59,18436,2400.9,1974.8,1734.6,4896.9
1992-04-07,398.06,17792,2404.2,1975.4,1739.4,4926.4
1992-04-08,394.5,17176,2393.2,1907.5,1720,4827.6
1992-04-09,400.64,16598,2436.4,1943.6,1720.3,4729.4
1992-04-10,404.29,17851,2572.6,1974.1,1736.1,4921.1
1992-04-13,406.08,17237,2591,1963.3,1727.7,4889.1
1992-04-14,412.39,17440,2600.5,1972.3,1732.5,4883.5
1992-04-15,416.28,17948,2640.2,1990.7,1743.8,4986.1
1992-04-16,416.04,17960,2638.6,1978.2,1749.2,5082.7
1992-04-17,416.04,17581,2638.6,1978.2,1749.2,5082.7
1992-04-20,410.18,17071,2638.6,1978.2,1749.2,5082.7
1992-04-21,410.26,16787,2625.8,1980.4,1746.5,5093.1
1992-04-22,409.81,16839,2607.8,1983.7,1753.3,5189
1992-04-23,411.6,17402,2609.8,1978.1,1752.4,5287.8
1992-04-24,409.02,17542,2643,1984.9,1745.7,5330.2
1992-04-27,408.45,17451,2658.2,1995.7,1742.2,5371.8
1992-04-28,409.11,17527,2651,2006.6,1735.9,5423.4
1992-04-29,412.02,17527,2664.9,2036.7,1735.9,5362.4
1992-04-30,414.95,17391,2654.1,2031.1,1734,5369.6
1992-05-01,412.53,17303,2659.8,2031.1,1734,5484.2
1992-05-04,416.91,17303,2659.8,2041.6,1728.3,5613.8
1992-05-05,416.84,17303,2662.2,2046.9,1732.6,5631.2
1992-05-06,416.79,17879,2698.7,2047.2,1743.5,5581.2
1992-05-07,415.85,18411,2701.9,2063.4,1750.8,5629.6
1992-05-08,416.05,18376,2725.7,2063.4,1748.2,5608.2
1992-05-11,418.49,18608,2737.8,2077.5,1753,5632.3
1992-05-12,416.29,18509,2722.4,2063.6,1751.2,5705.9
1992-05-13,416.45,18769,2720.5,2053.2,1749.4,5758
1992-05-14,413.14,18805,2694.7,2017,1742.3,5746.5
1992-05-15,410.09,18074,2682.6,2024,1724.1,5704.5
1992-05-18,412.81,18443,2703.6,2051.6,1758.4,5637.1
1992-05-19,416.37,18754,2700.6,2023.1,1763.3,5642.2
1992-05-20,415.39,18675,2711.9,2030.8,1787.5,5753.8
1992-05-21,412.6,18691,2702,2016.8,1785.5,5865.6
1992-05-22,414.02,18221,2715,2045.1,1803,5859.7
1992-05-25,414.02,18555,2715,2046.3,1811.6,5993.1
1992-05-26,411.41,18205,2704.6,2029.6,1806.7,6052.1
1992-05-27,412.17,17823,2698.6,2014.1,1794.1,6012.5
1992-05-28,416.74,17931,2694.2,2014.1,1794.1,5988.1
1992-05-29,415.35,18348,2707.6,2033.3,1803.2,6080.2
1992-06-01,417.3,18004,2697.6,2017.4,1798.1,6056
1992-06-02,413.5,18126,2705.9,2024.9,1801.4,6059.4
1992-06-03,414.59,18189,2680.9,1992.6,1788.6,6037.4
1992-06-04,413.26,17964,2681.9,1994.9,1792.3,6035.8
1992-06-05,413.48,17790,2668.5,1981.6,1789.1,6035.8
1992-06-08,413.36,17655,2645.8,1981.6,1789.1,5978.8
1992-06-09,410.06,17845,2635.4,1962.2,1786.3,5940.2
1992-06-10,407.25,17743,2636.1,1953.7,1789.8,5917.5
1992-06-11,409.05,17709,2614.1,1928.8,1781.8,5826.5
1992-06-12,409.76,17384,2603.7,1928.3,1782.3,5819.1
1992-06-15,410.29,16953,2593.6,1918.1,1773.9,5819.1
1992-06-16,408.32,16954,2616.3,1931.4,1779.1,5846.8
1992-06-17,402.26,16446,2598.4,1908.8,1771.8,5846.1
1992-06-18,400.96,16046,2562.7,1891.8,1771.8,5796.1
1992-06-19,403.67,16520,2584.8,1913.9,1772.9,5787.6
1992-06-22,403.4,15921,2550.3,1885.8,1770.6,5819.9
1992-06-23,404.04,16107,2560.6,1895.8,1771.1,5897.9
1992-06-24,403.84,15854,2532.6,1899.6,1768.5,5965.2
1992-06-25,403.12,16144,2557.3,1920.3,1764.9,6078.7
1992-06-26,403.45,15813,2534.1,1915.3,1754.1,6113.1
1992-06-29,408.94,15741,2515.8,1907.3,1757.1,6057.9
1992-06-30,408.14,15952,2521.2,1900.6,1752.6,6103.9
1992-07-01,412.88,16325,2493.9,1880.9,1756.3,6134.8
1992-07-02,411.77,16758,2476.1,1873.5,1768.6,6073.7
1992-07-03,411.77,16718,2497.1,1883.6,1777,6061.9
1992-07-06,413.84,16657,2469,1868.5,1772.4,6024.8
1992-07-07,409.16,16460,2493.7,1879.1,1767.5,5911.9
1992-07-08,410.28,16600,2472.6,1847.8,1751.2,5981.9
1992-07-09,414.23,16849,2497.9,1861.8,1757.6,5925.5
1992-07-10,414.62,16784,2490.8,1859.4,1754.5,5981.4
1992-07-13,414.87,17202,2478.3,1859.4,1736.5,6085.9
1992-07-14,417.68,17065,2484,1859.4,1734.1,6097.2
1992-07-15,417.1,17117,2486.4,1853.3,1734.6,6125.5
1992-07-16,417.54,16988,2483.4,1851.2,1740.5,6162.5
1992-07-17,415.62,16548,2431.9,1801.8,1702.7,6128.1
1992-07-20,413.75,15884,2403.7,1767.9,1649.7,5986.5
1992-07-21,413.76,16002,2415.6,1762.7,1659.8,6010.4
1992-07-22,410.93,15542,2387.9,1727.5,1628.2,6010.4
1992-07-23,412.08,16040,2399.5,1734.6,1623.4,5917.2
1992-07-24,411.6,15498,2377.2,1734.6,1610.4,5772.8
1992-07-27,411.54,15373,2348,1755.4,1618.1,5664.4
1992-07-28,417.52,15427,2373.4,1769,1610.6,5782.6
1992-07-29,422.23,15096,2423.2,1801.6,1628.2,5857.3
1992-07-30,423.92,15556,2411.6,1782.6,1624,5829.8
1992-07-31,424.21,15910,2399.6,1754.7,1615.4,5881.1
1992-08-03,425.09,15709,2420.2,1784.4,1594.7,5910.7
1992-08-04,424.36,15693,2407.5,1787.6,1611.5,5859.8
1992-08-05,422.19,15984,2392.8,1798,1628.8,5841.2
1992-08-06,420.59,15926,2377.6,1793.8,1621.2,5865.3
1992-08-07,418.88,15518,2350.1,1777.3,1609.5,5850.9
1992-08-10,419.42,15066,2325.7,1755.2,1582.6,5867.9
1992-08-11,418.9,14823,2309.6,1737.8,1564.6,5886.8
1992-08-12,417.78,14774,2303.1,1730.1,1553,5879.2
1992-08-13,417.73,14768,2318,1722.4,1541,5857.1
1992-08-14,419.91,14820,2356.8,1753.5,1547.8,5822.6
1992-08-17,420.74,14930,2376.1,1757.3,1555.4,5667.9
1992-08-18,421.34,14309,2354.7,1736.7,1533.2,5675.2
1992-08-19,418.19,14651,2363.5,1734.2,1524.7,5620.4
1992-08-20,418.26,15268,2359.4,1724.2,1513.1,5481.6
1992-08-21,414.85,16217,2365.7,1744.2,1520,5509.4
1992-08-24,410.72,16628,2311.1,1689.7,1498.7,5390.9
1992-08-25,411.61,16381,2281,1667.7,1468.9,5291.5
1992-08-26,413.51,16542,2285,1667.8,1473.3,5478.8
1992-08-27,413.53,17555,2311.6,1687.6,1513.4,5460.7
1992-08-28,414.84,17971,2312.6,1687.5,1516.5,5628.6
1992-08-31,414.03,18061,2312.6,1684.9,1541.3,5628.6
1992-09-01,416.07,17740,2298.4,1674.2,1518.7,5711.6
1992-09-02,417.98,17588,2313,1711.4,1506.7,5734.5
1992-09-03,417.98,18386,2381.9,1780.5,1530.8,5722.5
1992-09-04,417.08,18555,2362.2,1779,1536.5,5707.5
1992-09-07,417.08,18440,2372.2,1779.3,1540.6,5664.4
1992-09-08,414.44,18282,2337.7,1763.7,1544.6,5700.6
1992-09-09,416.36,18876,2327.5,1756.8,1525.3,5727
1992-09-10,419.95,18908,2340.6,1774.2,1528.3,5631.6
1992-09-11,419.58,18108,2370.9,1802,1527.8,5537.3
1992-09-14,425.27,18471,2422.1,1873.6,1595,5607.2
1992-09-15,419.77,18471,2370,1836.2,1587.6,5653.8
1992-09-16,419.92,17945,2378.3,1859.8,1584.6,5633.1
1992-09-17,419.93,18117,2483.9,1852.7,1578.7,5637.9
1992-09-18,422.93,18167,2567,1882.9,1589.3,5689.3
1992-09-21,422.14,18066,2560.1,1826.1,1573.9,5741.5
1992-09-22,417.14,18283,2586,1832.8,1550.3,5740.2
1992-09-23,417.44,18283,2580.5,1828.9,1557.8,5712.6
1992-09-24,418.47,18610,2621.2,1829.5,1530.9,5658.7
1992-09-25,414.35,18395,2601,1843.5,1513.4,5686.2
1992-09-28,416.62,17973,2560,1770.3,1475,5597.2
1992-09-29,416.8,17748,2565.5,1731.9,1476.3,5581.9
1992-09-30,417.8,17399,2553,1736.7,1466.4,5505.4
1992-10-01,416.29,17370,2572.3,1724,1484,5528.8
1992-10-02,410.47,17324,2549.7,1683.3,1478,5595.4
1992-10-05,407.57,17102,2446.3,1611,1424.4,5595.4
1992-10-06,407.18,17268,2488.4,1612.5,1420.3,5553.1
1992-10-07,404.25,17112,2517.1,1654.2,1436.1,5589
1992-10-08,407.75,17336,2538.8,1673.9,1451.1,5555.5
1992-10-09,402.66,17060,2541.2,1657.3,1439.7,5596.7
1992-10-12,407.44,17302,2557.2,1655.1,1432.5,5725.6
1992-10-13,409.3,17491,2584.7,1685.1,1465.5,5756.1
1992-10-14,409.37,17344,2574.7,1667.9,1458.5,5806.8
1992-10-15,409.6,17628,2546.6,1650,1453.4,5913.6
1992-10-16,411.73,17370,2563.9,1664.2,1461.6,5985.3
1992-10-19,414.98,16904,2562.2,1679.1,1479.1,6089.9
1992-10-20,415.48,16988,2617,1731.3,1511.6,6088.5
1992-10-21,415.67,17142,2645.7,1722.2,1503.9,6200.9
1992-10-22,414.9,17013,2658.1,1730.7,1510.1,6329.1
1992-10-23,414.1,17118,2669.7,1766.4,1526.8,6262.5
1992-10-26,418.16,17011,2661.6,1770.7,1542.5,6062.5
1992-10-27,418.49,17185,2669.8,1774.5,1533.8,6218
1992-10-28,420.13,17068,2650.4,1749.9,1510.3,6127
1992-10-29,420.86,16938,2642.3,1730.9,1493.6,6117.5
1992-10-30,418.68,16767,2658.3,1742.4,1492.3,6190.7
1992-11-02,422.75,16853,2687.8,1742.4,1472.6,6231.2
1992-11-03,419.92,16853,2705.6,1786.9,1485,6197.4
1992-11-04,417.11,17065,2691.7,1804.1,1472.7,6325.4
1992-11-05,418.34,17032,2711.1,1804.7,1480.9,6347.8
1992-11-06,417.58,16870,2702.7,1793.6,1487.2,6315
1992-11-09,418.59,16417,2695.4,1786.7,1508.8,6267.9
1992-11-10,418.62,16437,2714.6,1798.5,1519.1,6273.1
1992-11-11,422.2,16318,2696.8,1798.5,1512.2,6422
1992-11-12,422.87,16377,2726.4,1821.5,1535.4,6447.1
1992-11-13,422.43,16331,2697.5,1796.8,1548.5,6366.6
1992-11-16,420.68,16163,2679.6,1772.7,1547,6294.8
1992-11-17,419.27,15993,2679.2,1764.4,1545.1,6088.5
1992-11-18,422.85,16779,2704,1759.2,1545.1,5848.3
1992-11-19,423.61,16871,2706.2,1722.3,1551.7,5855.4
1992-11-20,426.65,17034,2732.4,1724.2,1544.8,5878.2
1992-11-23,425.12,17034,2722.9,1674.8,1530.9,5895
1992-11-24,427.59,17096,2727.1,1720.6,1510.3,5972.5
1992-11-25,429.19,17302,2709.6,1721,1517.7,5918.5
1992-11-26,429.19,17479,2741.8,1739.7,1523.2,5913.2
1992-11-27,430.16,17471,2760.1,1749.7,1523,5986.7
1992-11-30,431.35,17684,2778.8,1771.4,1544.3,5810.6
1992-12-01,430.78,17313,2792,1792.3,1544.9,5501.7
1992-12-02,429.89,17394,2764.1,1783.3,1534,5411.7
1992-12-03,429.91,17260,2771,1799.4,1532.5,4978.2
1992-12-04,432.06,17296,2759.4,1781.7,1522.2,5268.1
1992-12-07,435.31,17207,2754.5,1788.6,1525.3,5191.8
1992-12-08,436.99,17282,2769.8,1765.9,1508.2,5202.4
1992-12-09,435.65,17406,2750.7,1791.2,1500.6,5339.3
1992-12-10,434.64,17501,2726.5,1769.5,1494.5,5273.8
1992-12-11,433.73,17441,2716.2,1758.7,1476,5253.2
1992-12-14,432.84,17290,2721.8,1738.3,1469.8,5267.7
1992-12-15,432.57,17481,2717.9,1744.8,1481.2,5315.8
1992-12-16,431.52,17269,2732.8,1736.7,1472.1,5416
1992-12-17,435.43,17438,2740.3,1735.2,1476.2,5329.5
1992-12-18,441.28,17681,2789.7,1760.1,1492,5192.7
1992-12-21,440.7,17645,2807.7,1786.3,1515.6,5242.5
1992-12-22,440.31,17691,2842,1824.4,1523.6,5297.7
1992-12-23,439.03,17691,2827.4,1821.1,1527,5318
1992-12-24,439.77,17649,2827.5,1854.6,1527,5442
1992-12-25,439.77,17557,2827.5,1854.6,1527,5442
1992-12-28,439.15,17189,2827.5,1857.5,1544.6,5531.7
1992-12-29,437.98,17286,2847.8,1870.3,1542.2,5444.1
1992-12-30,438.82,16925,2832.5,1858.8,1545.1,5467.9
1992-12-31,435.71,16925,2846.5,1857.8,1545.1,5512.4
1993-01-04,435.38,16994,2861.5,1843.1,1531.3,5437.8
1993-01-05,434.34,16843,2833.6,1850.8,1556.4,5548
1993-01-06,434.52,16783,2826,1859.6,1556.4,5586.7
1993-01-07,430.73,16781,2816.5,1844.5,1542.5,5547.3
1993-01-08,429.05,16635,2799.2,1852.6,1531.5,5529.6
1993-01-11,430.95,16590,2773.4,1814.6,1532,5673.1
1993-01-12,431.04,16681,2757.9,1796.8,1530.2,5671.3
1993-01-13,433.03,16518,2745.3,1782.5,1516.5,5778.7
1993-01-14,435.94,16516,2759.2,1803.5,1523.7,5890.2
1993-01-15,437.15,16516,2765.1,1827.1,1544.6,5871.8
1993-01-18,436.84,16617,2763.1,1837.5,1573.1,5882
1993-01-19,435.13,16799,2737.6,1837.7,1578.8,5897.9
1993-01-20,433.37,16510,2748.7,1818.8,1574.9,5877
1993-01-21,435.49,16539,2773.3,1812.2,1573.7,5914.4
1993-01-22,436.11,16337,2781.2,1820.4,1587.6,5914.4
1993-01-25,440.01,16287,2771.9,1779.9,1569.2,5914.4
1993-01-26,439.95,16493,2835.7,1792.6,1576.2,5923.7
1993-01-27,438.11,16510,2832.5,1777.4,1562.3,5939.9
1993-01-28,438.66,17063,2816.9,1780.6,1567.8,5804.5
1993-01-29,438.78,17024,2807.2,1772.2,1571.9,5751.4
1993-02-01,442.52,17134,2851.6,1785.9,1585.2,5697.8
1993-02-02,442.55,17186,2834.4,1787.3,1583.1,5662.5
1993-02-03,447.2,17222,2873.8,1824.1,1601.5,5710.8
1993-02-04,449.56,17191,2865.9,1854.4,1601.6,5778
1993-02-05,448.93,17333,2862.9,1908.2,1641.4,5747.2
1993-02-08,447.85,17282,2870,1904.7,1647.2,5786.7
1993-02-09,445.33,17022,2831.3,1894.1,1641.6,5789.5
1993-02-10,446.23,17090,2816.4,1893.3,1649.8,5835.6
