ESCBFX,AUD,CAD,CHF,GBP,HKD,JPY,USD
1999-03-18,1.7458,1.6728,1.5975,0.676,8.5329,129.78,1.1012
1999-03-19,1.7316,1.6543,1.5986,0.6708,8.459,127.99,1.0915
1999-03-22,1.7174,1.6426,1.5966,0.6677,8.4195,128,1.0864
1999-03-23,1.7044,1.6415,1.5945,0.6706,8.4419,128.94,1.0896
1999-03-24,1.7094,1.647,1.5908,0.6653,8.4693,128.6,1.0928
1999-03-25,1.7102,1.6471,1.5944,0.6668,8.4371,128.65,1.0898
1999-03-26,1.6998,1.6281,1.5965,0.665,8.3737,128.93,1.0815
1999-03-29,1.6904,1.6185,1.5943,0.6615,8.2848,128.78,1.0692
1999-03-30,1.7003,1.6223,1.5956,0.6638,8.3049,128.86,1.0711
1999-03-31,1.706,1.6211,1.5981,0.6663,8.3226,127.81,1.0742
1999-04-01,1.6928,1.6205,1.5957,0.669,8.3687,128.72,1.0772
1999-04-02,1.6992,1.6162,1.5973,0.672,8.3492,129.85,1.0772
1999-04-05,1.6956,1.6096,1.5968,0.6702,8.3338,130.55,1.0752
1999-04-06,1.7063,1.614,1.595,0.6759,8.3165,129.99,1.0726
1999-04-07,1.7213,1.6246,1.5952,0.6772,8.3786,131.27,1.0812
1999-04-08,1.7324,1.6215,1.5958,0.6731,8.3819,130.45,1.0818
1999-04-09,1.7162,1.6202,1.5968,0.6724,8.3495,130.75,1.0778
1999-04-12,1.7106,1.6281,1.603,0.6723,8.4257,130.27,1.0867
1999-04-13,1.692,1.6049,1.6032,0.6671,8.343,129.66,1.0765
1999-04-14,1.6886,1.6103,1.6052,0.6667,8.3612,128.55,1.0787
1999-04-15,1.6981,1.6114,1.6035,0.6682,8.3577,128.01,1.0786
1999-04-16,1.6535,1.5851,1.6027,0.6633,8.271,126.16,1.0668
1999-04-19,1.6325,1.5759,1.6015,0.6586,8.2394,125.67,1.0636
1999-04-20,1.6374,1.5825,1.604,0.6589,8.2394,125.48,1.0646
1999-04-21,1.6349,1.5775,1.6,0.6593,8.202,126.26,1.0586
1999-04-22,1.6366,1.573,1.601,0.6585,8.202,126.95,1.0581
1999-04-23,1.6257,1.5725,1.6023,0.6583,8.2404,127.25,1.0634
1999-04-26,1.6349,1.5692,1.6027,0.6569,8.223,126.22,1.0614
1999-04-27,1.6429,1.5744,1.6047,0.6587,8.2419,127.34,1.063
1999-04-28,1.6324,1.5725,1.6088,0.6583,8.2646,127.05,1.0666
1999-04-29,1.6123,1.5607,1.6072,0.6584,8.2183,126.16,1.0604
1999-04-30,1.6078,1.5519,1.6113,0.6571,8.2125,126.9,1.0597
1999-05-03,1.5987,1.5415,1.6111,0.6571,8.2073,126.93,1.0589
1999-05-04,1.5996,1.5343,1.6098,0.6553,8.1877,128.04,1.0564
1999-05-05,1.6194,1.5535,1.6041,0.6552,8.2654,128.78,1.0667
1999-05-06,1.6107,1.563,1.608,0.6601,8.3697,130.6,1.0799
1999-05-07,1.6122,1.5725,1.6078,0.661,8.3593,130.13,1.0786
1999-05-10,1.6012,1.5662,1.6075,0.6604,8.321,129.82,1.0735
1999-05-11,1.597,1.5618,1.6082,0.6619,8.323,129.97,1.0732
1999-05-12,1.5961,1.5495,1.6052,0.6577,8.2498,128.88,1.0645
1999-05-13,1.5891,1.554,1.6013,0.656,8.2324,129.2,1.0622
1999-05-14,1.6051,1.5561,1.602,0.6601,8.2729,130.78,1.0676
1999-05-17,1.6117,1.5683,1.6023,0.6598,8.2846,131.47,1.0685
1999-05-18,1.5896,1.5585,1.6023,0.6592,8.2883,131.62,1.069
1999-05-19,1.6051,1.5598,1.6017,0.6569,8.2433,132.4,1.0634
1999-05-20,1.6083,1.5593,1.602,0.6591,8.2498,132.16,1.0639
1999-05-21,1.5906,1.5442,1.6034,0.6583,8.1967,131.25,1.0572
1999-05-24,1.6103,1.5458,1.6023,0.6617,8.2083,130.86,1.0585
1999-05-25,1.6134,1.5481,1.5964,0.6634,8.2392,130.41,1.0627
1999-05-26,1.6205,1.5446,1.5949,0.658,8.1688,128.77,1.0535
1999-05-27,1.6057,1.5374,1.5939,0.6551,8.1219,128.05,1.0473
1999-05-28,1.6046,1.5463,1.5941,0.6546,8.1248,126.7,1.0479
1999-05-31,1.6074,1.5411,1.5943,0.6524,8.1078,127.18,1.0456
1999-06-01,1.6187,1.5405,1.5928,0.6505,8.0924,126.35,1.0434
1999-06-02,1.6075,1.54,1.5912,0.6443,8.048,125.71,1.0382
1999-06-03,1.6082,1.5344,1.5928,0.6458,8.0522,125.8,1.0382
1999-06-04,1.5837,1.5233,1.5877,0.6412,8.0018,125.45,1.0315
1999-06-07,1.5621,1.5148,1.5858,0.6414,8.005,124.7,1.0316
1999-06-08,1.5732,1.5242,1.5909,0.6489,8.0561,125.99,1.0385
1999-06-09,1.5777,1.5413,1.5914,0.6523,8.1194,124.48,1.0466
1999-06-10,1.5834,1.5395,1.5947,0.6538,8.1256,124.5,1.0474
1999-06-11,1.5796,1.5273,1.597,0.6506,8.1243,124.09,1.0474
1999-06-14,1.5765,1.5234,1.5952,0.6473,8.0951,125.42,1.0437
1999-06-15,1.5735,1.5207,1.5941,0.6501,8.0626,125.27,1.0392
1999-06-16,1.5754,1.5138,1.5944,0.651,8.0221,124.4,1.0345
1999-06-17,1.569,1.5046,1.5976,0.6481,8.02,123.97,1.034
1999-06-18,1.5907,1.5215,1.5969,0.6506,8.0564,124.52,1.0388
1999-06-21,1.5804,1.5119,1.5967,0.6506,8.0239,126.3,1.0339
1999-06-22,1.5847,1.5176,1.5952,0.6498,8.0028,125.6,1.0313
1999-06-23,1.5689,1.5104,1.597,0.6511,7.9907,125.55,1.028
1999-06-24,1.5672,1.5165,1.5977,0.6533,8.0133,126.05,1.0321
1999-06-25,1.5746,1.5353,1.5995,0.6578,8.1026,126.8,1.0443
1999-06-28,1.5781,1.5242,1.5995,0.6564,8.059,125.96,1.0388
1999-06-29,1.5775,1.5258,1.6012,0.6544,8.038,125.3,1.0364
1999-06-30,1.5598,1.5262,1.6034,0.6563,8.0116,124.82,1.0328
1999-07-01,1.5336,1.5035,1.6043,0.6502,7.9614,124.12,1.0264
1999-07-02,1.5347,1.5066,1.606,0.6498,7.9507,123.93,1.0241
1999-07-05,1.537,1.4985,1.6055,0.6491,7.9408,125.18,1.0232
1999-07-06,1.5274,1.4984,1.604,0.6514,7.9323,124.87,1.0221
1999-07-07,1.5417,1.5018,1.6034,0.6563,7.9323,124.77,1.0222
1999-07-08,1.5342,1.4967,1.6029,0.6544,7.8998,124.72,1.0182
1999-07-09,1.5289,1.5003,1.6065,0.6577,7.9154,124.66,1.0204
1999-07-12,1.5296,1.4967,1.6072,0.6527,7.8592,123.82,1.0124
1999-07-13,1.5391,1.5097,1.6031,0.6538,7.9013,123.83,1.0183
1999-07-14,1.541,1.5116,1.6043,0.6523,7.9013,122.97,1.0168
1999-07-15,1.5435,1.5109,1.6055,0.6513,7.9153,123.04,1.0201
1999-07-16,1.5459,1.5136,1.6059,0.6509,7.9194,123.15,1.0202
1999-07-19,1.5438,1.5123,1.6067,0.6511,7.8727,121.6,1.0146
1999-07-20,1.5963,1.5507,1.6038,0.6618,8.0739,123.09,1.041
1999-07-21,1.6235,1.5656,1.6059,0.6653,8.1195,124.2,1.0462
1999-07-22,1.6199,1.5776,1.6068,0.6642,8.1501,124.06,1.0499
1999-07-23,1.6175,1.582,1.6053,0.6634,8.1467,121.96,1.0496
1999-07-26,1.6483,1.6203,1.6066,0.6731,8.3066,123.8,1.0698
1999-07-27,1.648,1.6038,1.6,0.668,8.2482,124.27,1.0627
1999-07-28,1.6465,1.6042,1.5986,0.6683,8.232,123.15,1.0603
1999-07-29,1.6455,1.6114,1.5979,0.6665,8.288,123.18,1.068
1999-07-30,1.6405,1.6099,1.5976,0.6598,8.3019,123.19,1.0694
1999-08-02,1.6441,1.6093,1.5963,0.6591,8.2757,121.88,1.0665
1999-08-03,1.6293,1.5944,1.5994,0.6588,8.2655,122.69,1.0645
1999-08-04,1.633,1.6114,1.6002,0.6627,8.3533,123.39,1.0761
1999-08-05,1.6449,1.6102,1.5986,0.667,8.3762,123.37,1.0791
1999-08-06,1.6459,1.6108,1.6019,0.665,8.3384,123.13,1.074
1999-08-09,1.6449,1.6056,1.5993,0.6665,8.3096,123.37,1.0705
1999-08-10,1.6476,1.6129,1.6003,0.6655,8.3392,123.25,1.0737
1999-08-11,1.6453,1.5926,1.6023,0.6623,8.2797,122.92,1.0668
1999-08-12,1.639,1.5816,1.6023,0.6614,8.2591,123.25,1.0638
1999-08-13,1.6383,1.5826,1.6015,0.6619,8.2845,122.41,1.0667
1999-08-16,1.6184,1.5607,1.602,0.6585,8.1919,121.28,1.0553
1999-08-17,1.6242,1.5575,1.6012,0.6584,8.1718,120.34,1.0527
1999-08-18,1.6351,1.5604,1.6016,0.6556,8.1685,118.9,1.0517
1999-08-19,1.655,1.5649,1.5997,0.6556,8.1659,117.02,1.0517
1999-08-20,1.6763,1.5971,1.5975,0.659,8.1659,119.16,1.0667
1999-08-23,1.6639,1.5873,1.5973,0.658,8.2354,118.03,1.0606
1999-08-24,1.6463,1.5735,1.6009,0.6576,8.1647,117.42,1.0512
1999-08-25,1.6512,1.5576,1.601,0.6572,8.0998,115.7,1.0433
1999-08-26,1.6539,1.5698,1.602,0.6574,8.112,116.38,1.0452
1999-08-27,1.6488,1.5619,1.6014,0.6588,8.1147,116.68,1.045
1999-08-30,1.6501,1.5547,1.6019,0.6582,8.1165,116.1,1.0454
1999-08-31,1.6564,1.5753,1.5997,0.6585,8.2109,115.53,1.0573
1999-09-01,1.6649,1.5852,1.6004,0.6593,8.2404,116,1.0613
1999-09-02,1.6558,1.5878,1.5991,0.6631,8.2793,116.16,1.0662
1999-09-03,1.6556,1.5988,1.5969,0.6634,8.2932,117.32,1.0682
1999-09-06,1.6446,1.5788,1.5978,0.6607,8.2251,116.3,1.0594
1999-09-07,1.6392,1.5729,1.5989,0.6576,8.206,117.44,1.0565
1999-09-08,1.635,1.5813,1.5993,0.6536,8.241,117.49,1.0613
1999-09-09,1.6282,1.5731,1.6002,0.6513,8.225,115.36,1.0592
1999-09-10,1.6144,1.5578,1.6025,0.6463,8.1698,115,1.052
1999-09-13,1.5771,1.524,1.6056,0.6407,8.0317,109.85,1.0342
1999-09-14,1.5826,1.5235,1.6046,0.6468,8.0461,110.25,1.0362
1999-09-15,1.5985,1.5325,1.6032,0.6462,8.0536,107.94,1.0369
1999-09-16,1.6028,1.5324,1.6032,0.6416,8.0533,108.08,1.0372
1999-09-17,1.6013,1.528,1.6047,0.6423,8.0706,110.66,1.0397
1999-09-20,1.6168,1.5363,1.6049,0.641,8.0802,112.08,1.0406
1999-09-21,1.6083,1.5326,1.6048,0.6383,8.0684,108.72,1.0388
1999-09-22,1.6131,1.5449,1.6024,0.6423,8.1632,109.48,1.0509
1999-09-23,1.6124,1.534,1.6039,0.639,8.1035,108.45,1.043
1999-09-24,1.6101,1.5431,1.6002,0.6374,8.1338,109.4,1.0476
1999-09-27,1.5917,1.5297,1.6019,0.6327,8.0904,109.67,1.0414
1999-09-28,1.6074,1.5335,1.6023,0.6362,8.1454,111.31,1.0483
1999-09-29,1.6093,1.5444,1.6003,0.643,8.2045,112.85,1.0563
1999-09-30,1.6395,1.5652,1.5967,0.6475,8.2833,112.67,1.0665
1999-10-01,1.6307,1.57,1.5985,0.6499,8.3318,113.25,1.0728
1999-10-04,1.6259,1.5809,1.5915,0.6469,8.3318,113.6,1.0719
1999-10-05,1.6053,1.5678,1.5932,0.6456,8.302,113.98,1.0686
1999-10-06,1.6249,1.5774,1.5907,0.6488,8.3413,115.58,1.0737
1999-10-07,1.6238,1.5759,1.5924,0.649,8.3324,115.48,1.0729
1999-10-08,1.6212,1.5656,1.5956,0.6451,8.2774,114.55,1.0657
1999-10-11,1.6256,1.5656,1.5949,0.6424,8.2559,113.42,1.0631
1999-10-12,1.6281,1.573,1.5945,0.6459,8.2644,113.45,1.0668
1999-10-13,1.6395,1.5916,1.5907,0.6518,8.375,116.24,1.0778
1999-10-14,1.6528,1.5946,1.5908,0.6499,8.3599,114.95,1.0758
1999-10-15,1.6769,1.6094,1.5872,0.6519,8.4405,115.15,1.0869
1999-10-18,1.6877,1.618,1.5882,0.6509,8.4416,114.23,1.0868
1999-10-19,1.6726,1.6155,1.5891,0.6474,8.4089,114.3,1.0818
1999-10-20,1.6623,1.6032,1.5912,0.646,8.3738,114.44,1.0777
1999-10-21,1.6631,1.6072,1.5922,0.6446,8.3739,114.52,1.0797
1999-10-22,1.6522,1.5907,1.5972,0.6426,8.3593,113.65,1.0758
1999-10-25,1.6419,1.5809,1.598,0.6433,8.3019,112.66,1.0683
1999-10-26,1.6281,1.5626,1.5989,0.6413,8.2658,111.33,1.0633
1999-10-27,1.6327,1.554,1.5995,0.6392,8.2077,109.75,1.0552
1999-10-28,1.6373,1.5508,1.6023,0.6415,8.1828,109.79,1.0534
1999-10-29,1.6361,1.5419,1.603,0.6393,8.1262,109.59,1.0453
1999-11-01,1.6554,1.5526,1.6042,0.6413,8.2083,110.23,1.0572
1999-11-02,1.6393,1.5395,1.6051,0.6382,8.172,110.12,1.0507
1999-11-03,1.6284,1.541,1.6077,0.6361,8.152,109.17,1.0491
1999-11-04,1.6499,1.5378,1.6115,0.6389,8.165,110,1.0504
1999-11-05,1.6359,1.5176,1.6137,0.6397,8.0865,109.79,1.0408
1999-11-08,1.6262,1.526,1.61,0.6412,8.0886,110.36,1.0405
1999-11-09,1.6372,1.532,1.6087,0.6415,8.1041,109.37,1.0424
1999-11-10,1.6249,1.5289,1.6079,0.6416,8.0845,109.33,1.0402
1999-11-11,1.6205,1.5275,1.6085,0.6414,8.0911,109.3,1.0406
1999-11-12,1.6021,1.5082,1.6078,0.638,8.0117,108.22,1.0308
1999-11-15,1.5989,1.5076,1.6057,0.6371,8.0065,107.99,1.0301
1999-11-16,1.6076,1.515,1.6047,0.6369,8.0364,109.42,1.0336
1999-11-17,1.62,1.5238,1.6015,0.64,8.0924,109.58,1.0408
1999-11-18,1.623,1.522,1.602,0.6397,8.0597,109.63,1.038
1999-11-19,1.608,1.5053,1.6032,0.6353,8.0091,109.1,1.0279
1999-11-22,1.6152,1.5089,1.6029,0.6361,8.0106,108.35,1.0311
1999-11-23,1.6194,1.511,1.6009,0.6348,8.0164,107.98,1.0315
1999-11-24,1.6147,1.4981,1.5997,0.6331,7.94,106.62,1.0215
1999-11-25,1.6082,1.4971,1.5999,0.6312,7.9226,106.25,1.0194
1999-11-26,1.5855,1.4809,1.6012,0.6301,7.8555,104.86,1.0101
1999-11-29,1.5808,1.4837,1.6029,0.6297,7.8521,102.82,1.0077
1999-11-30,1.5918,1.4868,1.6021,0.6325,7.8474,103,1.0097
1999-12-01,1.5839,1.4882,1.6007,0.6304,7.8525,103.35,1.0091
1999-12-02,1.5843,1.4877,1.5999,0.6292,7.8256,103.03,1.0057
1999-12-03,1.5872,1.4823,1.5967,0.6255,7.7942,102.57,1.0015
1999-12-06,1.6069,1.5078,1.5969,0.631,7.9058,104.62,1.0182
1999-12-07,1.6077,1.5087,1.5999,0.6302,7.9546,105.05,1.0239
1999-12-08,1.6061,1.5134,1.6014,0.6294,7.9602,105.32,1.0236
1999-12-09,1.5901,1.5046,1.5991,0.6261,7.9027,104.4,1.0175
1999-12-10,1.5972,1.4968,1.5984,0.6247,7.885,103.81,1.0141
1999-12-13,1.5924,1.4966,1.602,0.6238,7.8709,103.95,1.0128
1999-12-14,1.5795,1.4866,1.6017,0.6215,7.8023,104.06,1.0038
1999-12-15,1.5779,1.4867,1.6001,0.6241,7.7914,103.7,1.0021
1999-12-16,1.5864,1.504,1.6016,0.6286,7.8881,104.47,1.0146
1999-12-17,1.5723,1.4963,1.6028,0.6287,7.9128,104.68,1.0128
1999-12-20,1.5713,1.4944,1.6004,0.628,7.839,103.84,1.0096
1999-12-21,1.5685,1.4932,1.5994,0.6276,7.8476,103.07,1.0084
1999-12-22,1.5612,1.4877,1.599,0.6253,7.826,102.48,1.0074
1999-12-23,1.5676,1.489,1.6011,0.6265,7.8418,102.52,1.0089
1999-12-24,1.5781,1.4919,1.6043,0.6267,7.8788,104.29,1.0142
1999-12-27,1.5749,1.4868,1.6046,0.6267,7.8713,103.75,1.0134
1999-12-28,1.5667,1.4678,1.6057,0.6249,7.8646,103.13,1.0089
1999-12-29,1.5532,1.4613,1.6059,0.6226,7.8348,103.02,1.0072
1999-12-30,1.5422,1.4608,1.6051,0.6217,7.8033,102.73,1.0046
1999-12-31,1.5422,1.4608,1.6051,0.6217,7.8033,102.73,1.0046
2000-01-03,1.5346,1.4577,1.6043,0.6246,7.8624,102.75,1.009
2000-01-04,1.5677,1.4936,1.6053,0.6296,8.0201,105.88,1.0305
2000-01-05,1.5773,1.5065,1.606,0.6324,8.0629,107.34,1.0368
2000-01-06,1.5828,1.5091,1.6068,0.6302,8.0843,108.72,1.0388
2000-01-07,1.5738,1.501,1.6079,0.6262,8.003,108.09,1.0284
2000-01-10,1.5587,1.4873,1.6089,0.6249,7.9471,107.26,1.0229
2000-01-11,1.5664,1.4963,1.6093,0.6251,7.9784,108.85,1.0256
2000-01-12,1.5653,1.5017,1.6098,0.6253,8.0128,109.1,1.0308
2000-01-13,1.545,1.4897,1.6111,0.6255,7.9976,108.89,1.0276
2000-01-14,1.5332,1.4819,1.613,0.6221,7.9547,108.05,1.0225
2000-01-17,1.5212,1.4651,1.6136,0.618,7.8637,105.81,1.0094
2000-01-18,1.5222,1.4626,1.6131,0.6174,7.8494,106.42,1.0093
2000-01-19,1.5222,1.4647,1.612,0.6172,7.8633,106.99,1.0105
2000-01-20,1.5182,1.4625,1.6147,0.6127,7.8493,106.44,1.0089
2000-01-21,1.5215,1.4607,1.6102,0.6113,7.8552,105.53,1.0097
2000-01-24,1.5295,1.446,1.6136,0.6062,7.8113,105.54,1.0027
2000-01-25,1.5275,1.4444,1.6121,0.6083,7.7894,105.69,1.0008
2000-01-26,1.5282,1.4405,1.6116,0.6094,7.798,106.04,1.0019
2000-01-27,1.5289,1.4331,1.6113,0.6089,7.7513,105.43,0.9976
2000-01-28,1.5178,1.4178,1.6121,0.6051,7.6607,103.74,0.9848
2000-01-31,1.543,1.4195,1.6091,0.6047,7.6206,104.62,0.9791
2000-02-01,1.5277,1.4121,1.6078,0.602,7.5531,104.62,0.971
2000-02-02,1.5273,1.4098,1.6101,0.6051,7.5634,105.51,0.9717
2000-02-03,1.5382,1.4045,1.6083,0.6086,7.584,105.78,0.9748
2000-02-04,1.557,1.4182,1.6077,0.6195,7.6623,105.99,0.9835
2000-02-07,1.5261,1.4045,1.6065,0.6134,7.606,106.02,0.9767
2000-02-08,1.5634,1.4354,1.6074,0.6182,7.7062,107.91,0.9903
2000-02-09,1.562,1.4334,1.6092,0.6169,7.7171,108.16,0.9934
2000-02-10,1.5587,1.4317,1.606,0.6126,7.6782,107.11,0.9868
2000-02-11,1.5526,1.4173,1.6056,0.6136,7.6271,107.42,0.9801
2000-02-14,1.5636,1.4308,1.6066,0.6201,7.6736,106.85,0.9867
2000-02-15,1.5597,1.4259,1.6061,0.6159,7.6077,106.46,0.9778
2000-02-16,1.5531,1.4279,1.6036,0.6129,7.6265,106.97,0.9804
2000-02-17,1.5646,1.4409,1.6042,0.6158,7.7237,109.3,0.9919
2000-02-18,1.5627,1.4288,1.6032,0.6144,7.6772,109.27,0.9857
2000-02-21,1.5717,1.4317,1.6031,0.6161,7.6758,109.73,0.9857
2000-02-22,1.5976,1.4586,1.6072,0.6226,7.7996,111.11,1.0022
2000-02-23,1.6225,1.4754,1.6105,0.6252,7.821,111.88,1.0068
2000-02-24,1.6067,1.4479,1.6101,0.6188,7.7145,109.55,0.9898
2000-02-25,1.5834,1.4265,1.6083,0.6155,7.6394,108.79,0.9813
2000-02-28,1.571,1.3969,1.6064,0.6072,7.4942,105.22,0.9639
2000-02-29,1.5795,1.4097,1.6067,0.6134,7.559,106.81,0.9714
2000-03-01,1.597,1.3968,1.6066,0.6123,7.5211,104.65,0.9667
2000-03-02,1.5952,1.4123,1.6075,0.614,7.5697,104.38,0.9725
2000-03-03,1.5913,1.4051,1.6063,0.6117,7.517,104.17,0.9659
2000-03-06,1.596,1.3976,1.6072,0.6111,7.5089,103.47,0.964
2000-03-07,1.5879,1.3939,1.6083,0.6096,7.4673,103,0.9593
2000-03-08,1.5721,1.3917,1.6061,0.6043,7.4258,102.24,0.9543
2000-03-09,1.5702,1.402,1.6061,0.6086,7.4843,102.44,0.9616
2000-03-10,1.5658,1.3981,1.6078,0.6095,7.4788,102.27,0.9613
2000-03-13,1.5819,1.4166,1.6108,0.6146,7.5557,102.23,0.9716
2000-03-14,1.5631,1.4054,1.6114,0.6123,7.487,100.93,0.962
2000-03-15,1.5737,1.4142,1.6115,0.614,7.5088,101.74,0.9647
2000-03-16,1.5753,1.417,1.6112,0.6155,7.5372,101.73,0.9663
2000-03-17,1.5881,1.4277,1.6126,0.6146,7.528,102.31,0.9672
2000-03-20,1.6038,1.4282,1.6126,0.6201,7.562,103.71,0.9715
2000-03-21,1.5929,1.4259,1.6116,0.6176,7.5536,103.46,0.9701
2000-03-22,1.5817,1.4106,1.6095,0.6125,7.4738,102.88,0.9603
2000-03-23,1.5968,1.4203,1.6045,0.6104,7.4892,103.88,0.9656
2000-03-24,1.6005,1.4238,1.5936,0.6115,7.5651,104.09,0.9715
2000-03-27,1.5818,1.4207,1.5908,0.6087,7.5626,103.77,0.9712
2000-03-28,1.5721,1.406,1.5904,0.6088,7.5112,102.59,0.9647
2000-03-29,1.5735,1.3935,1.5896,0.6032,7.4507,100.77,0.9568
2000-03-30,1.5611,1.3922,1.5909,0.601,7.4356,100.35,0.9555
2000-03-31,1.5811,1.3879,1.5907,0.5985,7.4357,98.53,0.9553
2000-04-03,1.5741,1.3873,1.5886,0.6,7.4337,100.27,0.9564
2000-04-04,1.5809,1.3842,1.5817,0.5971,7.4318,100.74,0.9538
2000-04-05,1.5954,1.4078,1.5732,0.6088,7.5251,101.71,0.9673
2000-04-06,1.5962,1.3946,1.5725,0.6075,7.4887,101.04,0.9625
2000-04-07,1.6043,1.3917,1.5727,0.6047,7.4544,100.71,0.9564
2000-04-10,1.6025,1.3989,1.5731,0.6064,7.4606,101.92,0.959
2000-04-11,1.6099,1.4017,1.5718,0.6055,7.4738,102.61,0.9594
2000-04-12,1.6078,1.4018,1.5745,0.6038,7.4543,101.11,0.9576
2000-04-13,1.5916,1.3931,1.5738,0.5999,7.4316,101.09,0.9537
2000-04-14,1.5999,1.4063,1.5737,0.6016,7.4317,100.86,0.954
2000-04-17,1.6168,1.4184,1.5686,0.6026,7.4673,99.4,0.9573
2000-04-18,1.6006,1.4142,1.571,0.6003,7.3974,98.97,0.9497
2000-04-19,1.584,1.3994,1.5748,0.5983,7.3823,98.79,0.9461
2000-04-20,1.5795,1.3815,1.5727,0.5934,7.3072,98.37,0.9376
2000-04-21,1.5795,1.3815,1.5727,0.5934,7.3072,98.37,0.9376
2000-04-24,1.5795,1.3815,1.5727,0.5934,7.3072,98.37,0.9376
2000-04-25,1.5637,1.3724,1.5712,0.5896,7.2451,98.15,0.9302
2000-04-26,1.5608,1.3492,1.5721,0.5827,7.1613,97.85,0.9193
2000-04-27,1.5575,1.3543,1.5742,0.5827,7.1413,97.57,0.9163
